,subj_idx,movie,movie_arousal,movie_valence
237,2,imageLH12,3.0,2.0
238,2,imageHH9,1.0,3.0
239,2,imageHH5,1.0,3.0
240,2,imageHL10,1.0,3.0
241,2,imageLH5,2.0,2.0
242,2,imageLL2,2.0,1.0
282,2,imageHL9,2.0,3.0
283,2,imageHH1,2.0,2.0
284,2,imageLL11,3.0,2.0
285,2,imageLL10,2.0,2.0
286,2,imageHL2,1.0,3.0
287,2,imageLH11,2.0,2.0
288,2,imageLH6,2.0,2.0
289,2,imageHH8,1.0,3.0
0,3,imageLL1,4.0,1.0
1,3,imageLL3,3.0,2.0
2,3,imageLH11,4.0,3.0
3,3,imageLH9,4.0,2.0
4,3,imageHH6,3.0,3.0
5,3,imageHH3,2.0,2.0
6,3,imageHL6,2.0,3.0
7,3,imageHL2,2.0,3.0
47,3,imageHH12,4.0,4.0
48,3,imageLL4,4.0,1.0
49,3,imageLL2,4.0,2.0
50,3,imageHH11,3.0,3.0
51,3,imageHL3,3.0,2.0
52,3,imageHL7,3.0,2.0
53,3,imageLH4,4.0,3.0
54,3,imageLH5,4.0,3.0
94,3,imageHH10,3.0,2.0
95,3,imageHH5,2.0,3.0
96,3,imageHL13,4.0,3.0
97,3,imageLL5,4.0,3.0
98,3,imageHL8,1.0,4.0
99,3,imageLH2,5.0,1.0
100,3,imageLH13,4.0,3.0
101,3,imageLL8,4.0,2.0
141,3,imageHH4,4.0,4.0
142,3,imageLL7,4.0,3.0
143,3,imageHL1,3.0,3.0
144,3,imageLL10,3.0,1.0
145,3,imageLH12,4.0,2.0
146,3,imageHH9,3.0,5.0
147,3,imageLH7,3.0,1.0
148,3,imageHL4,3.0,4.0
188,3,imageLH8,2.0,2.0
189,3,imageLL9,4.0,1.0
190,3,imageHL9,3.0,3.0
191,3,imageHL12,2.0,5.0
192,3,imageHH7,3.0,5.0
193,3,imageHH2,4.0,3.0
194,3,imageLL14,3.0,2.0
195,3,imageLH6,4.0,2.0
235,3,imageHL10,1.0,3.0
236,3,imageHH14,1.0,4.0
237,3,imageLH14,3.0,1.0
238,3,imageLL12,2.0,1.0
239,3,imageHH1,3.0,2.0
240,3,imageLL11,4.0,2.0
241,3,imageLH1,3.0,1.0
242,3,imageHL5,2.0,3.0
282,3,imageHH13,3.0,3.0
283,3,imageLL13,3.0,2.0
284,3,imageLH3,4.0,3.0
285,3,imageHH8,2.0,3.0
286,3,imageLL6,3.0,1.0
287,3,imageHL14,2.0,4.0
288,3,imageHL11,1.0,3.0
289,3,imageLH10,4.0,1.0
0,4,imageHH2,5.0,5.0
1,4,imageHL2,4.0,4.0
2,4,imageHH4,2.0,2.0
3,4,imageHL1,5.0,5.0
4,4,imageLH3,5.0,3.0
5,4,imageLL4,5.0,1.0
6,4,imageLH5,5.0,1.0
7,4,imageLL2,3.0,1.0
47,4,imageHL6,4.0,3.0
48,4,imageLH4,5.0,1.0
49,4,imageHH1,5.0,1.0
50,4,imageHH5,5.0,5.0
51,4,imageLH2,5.0,1.0
52,4,imageHL8,4.0,5.0
53,4,imageLL3,5.0,3.0
54,4,imageLL5,5.0,2.0
94,4,imageHL10,4.0,5.0
95,4,imageHL7,5.0,3.0
96,4,imageLL10,3.0,1.0
97,4,imageHH3,3.0,2.0
98,4,imageLH1,5.0,2.0
99,4,imageLL6,3.0,1.0
100,4,imageHH7,5.0,5.0
101,4,imageLH6,5.0,3.0
141,4,imageLH7,3.0,1.0
142,4,imageHL3,5.0,5.0
143,4,imageHH9,5.0,5.0
144,4,imageLH8,5.0,3.0
145,4,imageHL5,5.0,3.0
146,4,imageHH6,5.0,3.0
147,4,imageLL1,5.0,1.0
148,4,imageLL8,5.0,1.0
188,4,imageHH10,5.0,2.0
189,4,imageHH8,5.0,4.0
190,4,imageHL9,5.0,5.0
191,4,imageHL4,5.0,5.0
192,4,imageLH9,5.0,1.0
193,4,imageLH10,3.0,1.0
194,4,imageLL13,3.0,1.0
195,4,imageLL7,5.0,2.0
235,4,imageHH14,5.0,5.0
236,4,imageLH12,5.0,3.0
237,4,imageHL12,5.0,5.0
