,subj_idx,movie,movie_arousal,movie_valence
0,0,imageHH14,2.0,4.0
1,0,imageHL7,3.0,2.0
2,0,imageLH1,5.0,2.0
3,0,imageLH10,2.0,1.0
4,0,imageLL14,4.0,3.0
5,0,imageLL7,4.0,3.0
6,0,imageHH1,4.0,2.0
7,0,imageHL10,1.0,3.0
29,0,imageHH6,3.0,4.0
30,0,imageLL3,3.0,2.0
31,0,imageLL4,2.0,1.0
32,0,imageLH13,3.0,2.0
33,0,imageHL14,3.0,4.0
34,0,imageHL4,4.0,4.0
35,0,imageHH4,3.0,4.0
36,0,imageLH14,4.0,2.0
58,0,imageLL6,2.0,2.0
59,0,imageHH5,1.0,3.0
60,0,imageHH12,1.0,3.0
61,0,imageLL5,4.0,2.0
62,0,imageHL13,4.0,3.0
63,0,imageLH12,4.0,3.0
64,0,imageHL12,2.0,2.0
65,0,imageLH5,3.0,3.0
87,0,imageLL2,4.0,2.0
88,0,imageLH6,4.0,3.0
89,0,imageLH11,2.0,2.0
90,0,imageHH3,1.0,1.0
91,0,imageHH13,3.0,3.0
92,0,imageLL13,1.0,2.0
93,0,imageHL11,1.0,1.0
94,0,imageHL1,4.0,3.0
116,0,imageLL9,2.0,2.0
117,0,imageHL2,1.0,3.0
118,0,imageHH10,3.0,3.0
119,0,imageHL9,2.0,2.0
120,0,imageHH9,1.0,4.0
121,0,imageLL1,3.0,2.0
122,0,imageLH8,4.0,3.0
123,0,imageLH2,2.0,2.0
145,0,imageHL8,1.0,1.0
146,0,imageHL3,2.0,2.0
147,0,imageLH7,2.0,1.0
148,0,imageHH2,2.0,3.0
149,0,imageLL8,1.0,1.0
150,0,imageHH8,1.0,1.0
151,0,imageLH4,3.0,1.0
152,0,imageLL12,2.0,3.0
174,0,imageLL11,5.0,2.0
175,0,imageLH9,3.0,3.0
176,0,imageHL6,1.0,2.0
177,0,imageLH3,3.0,3.0
178,0,imageHL5,1.0,1.0
179,0,imageHH11,2.0,4.0
180,0,imageLL10,4.0,3.0
181,0,imageHH7,1.0,4.0
0,1,imageLL13,3.0,3.0
1,1,imageHL13,3.0,3.0
2,1,imageLL4,4.0,2.0
3,1,imageHH13,2.0,2.0
4,1,imageHH11,1.0,2.0
5,1,imageHL4,2.0,2.0
6,1,imageLH10,3.0,3.0
