subj_idx,stim,rt,response
0,0V0A,3.6243,1
0,0V0A,2.5559,0
0,0V0A,3.5233,0
0,0V0A,1.8405,0
0,0V0A,1.8054,0
0,0V0A,2.0442,0
0,0V0A,0.7801,1
0,0V0A,2.9547,0
0,0V0A,3.011,1
0,0V0A,1.7631,1
0,0V0A,1.1382,1
0,0V0A,1.7668,0
0,0V0A,3.0639,1
0,0V0A,2.6543,1
0,0V0A,2.005,0
0,0V0A,2.7724,0
0,0V0A,4.7558,1
0,0V0A,1.5482,1
0,0V0A,1.2173,1
0,0V0A,2.7558,1
0,0V0A,1.9546,1
0,0V0A,3.6207,1
0,0V0A,4.1864,1
0,0V0A,0.8921,1
0,0V0A,1.2324,1
0,0V0A,0.7885,1
0,0V0A,2.5677,1
0,0V0A,1.0357,0
0,0V1A,2.9014,1
0,0V1A,4.0895,1
0,0V1A,1.4238,1
0,0V1A,0.8842,1
0,0V1A,1.0682,1
0,0V1A,2.2726,0
0,0V1A,3.4301,1
0,0V1A,1.3839,1
0,0V1A,5.551924684,1
0,0V1A,1.5248,0
0,0V1A,4.4729,1
0,0V1A,0.9686,0
0,0V1A,2.3789,1
0,0V1A,2.8584,1
0,0V1A,3.2526,1
0,0V1A,2.5183,0
0,0V1A,0.7169,1
0,0V1A,1.8421,1
0,0V1A,4.0282,1
0,0V1A,1.7162,1
0,0V1A,1.8564,1
0,0V1A,2.8509,1
0,0V1A,0.779,1
0,0V1A,2.6054,1
0,0V1A,1.9444,0
0,0V1A,0.4888,0
0,0V1A,0.5991,1
0,0V1A,2.0594,0
0,1V0A,1.4519,0
0,1V0A,2.2036,0
0,1V0A,3.1684,0
0,1V0A,1.5726,0
0,1V0A,4.9669,1
0,1V0A,5.551924684,1
0,1V0A,2.1347,0
0,1V0A,2.4201,0
0,1V0A,2.1017,0
0,1V0A,1.1636,0
0,1V0A,2.8833,0
0,1V0A,4.5236,0
0,1V0A,3.3108,0
0,1V0A,1.4899,0
0,1V0A,4.3896,1
0,1V0A,2.9318,0
0,1V0A,1.594,0
0,1V0A,1.7106,0
0,1V0A,3.0544,0
0,1V0A,4.2098,1
0,1V0A,1.2217,0
0,1V0A,0.9839,0
0,1V0A,1.7595,0
0,1V0A,2.2101,0
0,1V0A,1.1132,0
0,1V0A,1.734,0
0,1V0A,1.0033,0
0,1V0A,1.4567,0
0,1V1A,2.9962,0
0,1V1A,2.2648,0
0,1V1A,2.1494,0
0,1V1A,2.6089,0
0,1V1A,1.849,0
0,1V1A,3.3571,1
0,1V1A,1.868,0
0,1V1A,1.3239,0
0,1V1A,1.5339,0
0,1V1A,0.8018,0
0,1V1A,0.7162,0
0,1V1A,1.3216,0
0,1V1A,2.6691,0
0,1V1A,2.9481,1
0,1V1A,2.8515,0
0,1V1A,3.9586,1
0,1V1A,2.0054,1
0,1V1A,2.1057,0
0,1V1A,1.5359,1
0,1V1A,2.9285,0
0,1V1A,3.2947,0
0,1V1A,1.3339,0
0,1V1A,2.5163,0
0,1V1A,1.2162,0
0,1V1A,1.4165,0
0,1V1A,1.1175,0
0,1V1A,1.0487,0
0,1V1A,1.2335,0
0,1Vne1A,2.2199,0
0,1Vne1A,3.7693,0
0,1Vne1A,4.2535,0
0,1Vne1A,1.0068,0
0,1Vne1A,3.2847,0
0,1Vne1A,2.1042,0
0,1Vne1A,1.5174,0
0,1Vne1A,2.3182,0
0,1Vne1A,0.9187,0
0,1Vne1A,2.0842,0
0,1Vne1A,1.1667,0
0,1Vne1A,0.8883,0
0,1Vne1A,3.9555,0
0,1Vne1A,1.3228,0
0,1Vne1A,1.9301,0
0,1Vne1A,1.4927,0
0,1Vne1A,3.4387,0
0,1Vne1A,1.1191,0
0,1Vne1A,1.3761,0
0,1Vne1A,1.5758,0
0,1Vne1A,2.0899,0
0,1Vne1A,0.9587,0
0,1Vne1A,3.7579,0
0,1Vne1A,1.7135,0
0,1Vne1A,3.4328,0
0,1Vne1A,1.616,0
0,1Vne1A,1.4186,0
0,1Vne1A,0.9499,0
1,0V0A,0.2949,1
1,0V0A,0.2839,0
1,0V0A,0.267,0
1,0V0A,0.451,0
1,0V0A,0.5299,1
1,0V0A,0.538,0
1,0V0A,0.5059,0
1,0V0A,0.5219,0
1,0V0A,1.4139,0
1,0V0A,0.5339,0
1,0V0A,1.802663558,0
1,0V0A,0.4069,0
1,0V0A,0.25,0
1,0V0A,0.4909,1
1,0V0A,0.417,0
1,0V0A,0.392,0
1,0V0A,0.515,0
1,0V0A,0.5439,0
1,0V0A,0.3079,1
1,0V0A,0.2889,1
1,0V0A,0.5099,0
1,0V0A,0.8119,1
1,0V0A,1.257,1
1,0V0A,0.3569,1
1,0V0A,0.434,1
1,0V0A,0.4769,0
1,0V0A,1.802663558,0
1,0V0A,0.5239,1
1,0V1A,0.519,1
1,0V1A,0.408,0
1,0V1A,0.4819,1
1,0V1A,0.335,0
1,0V1A,0.4529,0
1,0V1A,0.4729,0
1,0V1A,0.391,0
1,0V1A,0.5189,1
1,0V1A,1.0749,0
1,0V1A,0.5,0
1,0V1A,0.487,0
1,0V1A,0.468,1
1,0V1A,0.258,0
1,0V1A,0.301,0
1,0V1A,0.25,1
1,0V1A,0.72,0
1,0V1A,0.418,0
1,0V1A,0.6979,0
1,0V1A,0.7319,1
1,0V1A,1.802663558,1
1,0V1A,0.681,0
1,0V1A,1.092,1
1,0V1A,0.518,1
1,0V1A,0.4929,1
1,0V1A,0.5819,1
1,0V1A,0.3589,0
1,0V1A,0.869,1
1,0V1A,1.5239,0
1,1V0A,0.393,1
1,1V0A,0.25,0
1,1V0A,0.25,1
1,1V0A,0.278,0
1,1V0A,0.418,0
1,1V0A,1.0409,0
1,1V0A,0.5,1
1,1V0A,0.48,1
1,1V0A,1.085,1
1,1V0A,0.673,1
1,1V0A,0.5349,0
1,1V0A,0.2799,1
1,1V0A,0.402,1
1,1V0A,0.3759,1
1,1V0A,0.355,1
1,1V0A,0.651,1
1,1V0A,0.496,0
1,1V0A,0.5149,1
1,1V0A,0.8039,0
1,1V0A,1.802663558,0
1,1V0A,0.5879,0
1,1V0A,0.748,0
1,1V0A,1.802663558,1
1,1V0A,0.7739,1
1,1V0A,0.6929,0
1,1V0A,0.4209,0
1,1V0A,0.8,1
1,1V0A,0.454,0
1,1V1A,0.4449,1
1,1V1A,0.301,1
1,1V1A,0.479,1
1,1V1A,0.2859,0
1,1V1A,0.5509,0
1,1V1A,0.4429,1
1,1V1A,0.648,0
1,1V1A,0.615,0
1,1V1A,0.5539,1
1,1V1A,0.671,0
1,1V1A,0.471,0
1,1V1A,0.5769,1
1,1V1A,0.324,1
1,1V1A,0.3909,0
1,1V1A,0.267,1
1,1V1A,0.324,0
1,1V1A,0.3209,1
1,1V1A,1.802663558,0
1,1V1A,0.509,1
1,1V1A,0.651,1
1,1V1A,0.9619,0
1,1V1A,0.525,1
1,1V1A,0.276,0
1,1V1A,0.334,1
1,1V1A,0.6739,0
1,1V1A,1.675,1
1,1V1A,0.41,1
1,1V1A,1.5749,1
1,1Vne1A,1.2139,1
1,1Vne1A,0.423,1
1,1Vne1A,0.3859,0
1,1Vne1A,0.2789,0
1,1Vne1A,0.518,0
1,1Vne1A,0.574,0
1,1Vne1A,0.4499,0
1,1Vne1A,0.3359,0
1,1Vne1A,0.485,0
1,1Vne1A,0.401,1
1,1Vne1A,0.4109,1
1,1Vne1A,0.498,1
1,1Vne1A,1.456,0
1,1Vne1A,0.284,1
1,1Vne1A,0.34,1
1,1Vne1A,0.3719,1
1,1Vne1A,1.802663558,0
1,1Vne1A,0.6759,0
1,1Vne1A,0.6359,1
1,1Vne1A,0.3589,0
1,1Vne1A,0.64,0
1,1Vne1A,0.9569,1
1,1Vne1A,1.5069,1
1,1Vne1A,0.297,0
1,1Vne1A,0.41,0
1,1Vne1A,0.4079,1
1,1Vne1A,0.684,1
1,1Vne1A,0.518,1
2,0V0A,5.41,1
2,0V0A,6.131,0
2,0V0A,3.807,0
2,0V0A,1.8439,1
2,0V0A,2.0769,0
2,0V0A,2.0249,1
2,0V0A,2.1569,1
2,0V0A,1.6929,1
2,0V0A,4.5159,1
2,0V0A,4.5449,0
2,0V0A,5.437,0
2,0V0A,2.0649,1
2,0V0A,4.8619,0
2,0V0A,21.51951558,1
2,0V0A,4.277,1
2,0V0A,6.5599,1
2,0V0A,4.359,1
2,0V0A,2.6939,1
2,0V0A,6.5,0
2,0V0A,8.7609,1
2,0V0A,7.968,0
2,0V0A,16.525,1
2,0V0A,15.21,0
2,0V0A,6.765,1
2,0V0A,6.133,1
2,0V0A,8.351,1
2,0V0A,7.6929,1
2,0V0A,9.229,1
2,0V1A,4.8029,0
2,0V1A,2.3629,0
2,0V1A,1.191,0
2,0V1A,1.8809,0
2,0V1A,3.378,0
2,0V1A,1.958,1
2,0V1A,2.176,0
2,0V1A,3.15,1
2,0V1A,0.5099,0
2,0V1A,2.677,0
2,0V1A,10.046,0
2,0V1A,1.675,1
2,0V1A,21.51951558,0
2,0V1A,9.8879,1
2,0V1A,21.51951558,1
2,0V1A,3.5509,0
2,0V1A,3.958,0
2,0V1A,2.4639,0
2,0V1A,5.221,1
2,0V1A,5.2939,0
2,0V1A,6.338,0
2,0V1A,10.88,0
2,0V1A,9.7069,1
2,0V1A,10.478,0
2,0V1A,4.7249,1
2,0V1A,5.9769,1
2,0V1A,7.151,0
2,0V1A,6.027,1
2,1V0A,2.343,0
2,1V0A,7.374,0
2,1V0A,4.822,0
2,1V0A,1.459,0
2,1V0A,3.125,1
2,1V0A,1.6559,1
2,1V0A,4.987,0
2,1V0A,2.3869,0
2,1V0A,6.927,1
2,1V0A,2.209,0
2,1V0A,1.8799,0
2,1V0A,3.01,0
2,1V0A,12.746,0
2,1V0A,5.246,0
2,1V0A,8.451,0
2,1V0A,21.51951558,0
2,1V0A,9.0479,0
2,1V0A,2.776,0
2,1V0A,6.5259,0
2,1V0A,3.195,0
2,1V0A,7.478,0
2,1V0A,5.38,0
2,1V0A,12.996,0
2,1V0A,16.282,0
2,1V0A,11.819,0
2,1V0A,7.5929,0
2,1V0A,12.894,0
2,1V0A,9.096,0
2,1V1A,2.8759,0
2,1V1A,1.6229,0
2,1V1A,3.4199,0
2,1V1A,1.872,0
2,1V1A,2.302,0
2,1V1A,2.0259,1
2,1V1A,3.49,0
2,1V1A,3.1599,0
2,1V1A,1.758,0
2,1V1A,2.008,0
2,1V1A,5.663,1
2,1V1A,3.5699,1
2,1V1A,21.51951558,0
2,1V1A,4.4259,1
2,1V1A,3.6449,0
2,1V1A,3.1079,0
2,1V1A,3.476,0
2,1V1A,5.0929,0
2,1V1A,2.159,0
2,1V1A,7.347,0
2,1V1A,3.5239,0
2,1V1A,4.4769,0
2,1V1A,19.047,0
2,1V1A,19.934,0
2,1V1A,6.8209,0
2,1V1A,6.8489,0
2,1V1A,7.9329,0
2,1V1A,7.193,1
2,1Vne1A,4.49,1
2,1Vne1A,4.4739,0
2,1Vne1A,3.894,0
2,1Vne1A,2.1929,1
2,1Vne1A,2.2419,1
2,1Vne1A,1.759,0
2,1Vne1A,1.418,0
2,1Vne1A,3.729,0
2,1Vne1A,6.524,1
2,1Vne1A,10.079,0
2,1Vne1A,4.3269,0
2,1Vne1A,1.825,0
2,1Vne1A,17.596,0
2,1Vne1A,15.441,0
2,1Vne1A,2.795,0
2,1Vne1A,2.365,0
2,1Vne1A,13.079,0
2,1Vne1A,9.2489,0
2,1Vne1A,3.643,0
2,1Vne1A,3.842,0
2,1Vne1A,4.88,1
2,1Vne1A,10.478,0
2,1Vne1A,11.547,1
2,1Vne1A,17.887,0
2,1Vne1A,12.554,0
2,1Vne1A,9.7029,0
2,1Vne1A,8.465,0
2,1Vne1A,7.667,0
3,0V0A,4.377,1
3,0V0A,2.7309,0
3,0V0A,2.642,0
3,0V0A,2.6489,1
3,0V0A,3.3509,1
3,0V0A,6.0939,1
3,0V0A,2.168,0
3,0V0A,1.382,1
3,0V0A,3.8719,1
3,0V0A,0.927,1
3,0V0A,1.278,0
3,0V0A,0.762,0
3,0V0A,0.8609,0
3,0V0A,0.729,1
3,0V0A,1.744,0
3,0V0A,2.8029,0
3,0V0A,2.245,1
3,0V0A,3.9629,1
3,0V0A,2.364,0
3,0V0A,1.74,0
3,0V0A,7.019,1
3,0V0A,1.139,1
3,0V0A,1.928,1
3,0V0A,1.6179,0
3,0V0A,6.1119,0
3,0V0A,0.6869,0
3,0V0A,1.6289,1
3,0V0A,0.6669,1
3,0V1A,3.3449,0
3,0V1A,2.4429,1
3,0V1A,2.3509,0
3,0V1A,1.9189,1
3,0V1A,5.5939,0
3,0V1A,1.0459,1
3,0V1A,1.917,1
3,0V1A,0.596,0
3,0V1A,3.0599,1
3,0V1A,1.2779,1
3,0V1A,1.6949,0
3,0V1A,1.662,1
3,0V1A,1.6009,0
3,0V1A,2.503,1
3,0V1A,0.995,1
3,0V1A,0.7619,1
3,0V1A,1.8709,0
3,0V1A,2.554,0
3,0V1A,1.221,0
3,0V1A,1.6449,0
3,0V1A,0.844,0
