,subj_idx,movie,movie_arousal,movie_valence
0,0,imageHH9,5.0,4.0
1,0,imageHL4,5.0,3.0
2,0,imageHL5,5.0,3.0
3,0,imageLH2,5.0,3.0
4,0,imageLH1,5.0,2.0
5,0,imageLL11,5.0,3.0
6,0,imageLL3,4.0,3.0
7,0,imageHH11,3.0,2.0
47,0,imageHL10,3.0,2.0
48,0,imageLL13,3.0,2.0
49,0,imageHH13,4.0,3.0
50,0,imageLL7,4.0,3.0
51,0,imageLH5,5.0,5.0
52,0,imageLH14,4.0,3.0
53,0,imageHH6,4.0,3.0
54,0,imageHL6,4.0,4.0
94,0,imageLL14,4.0,3.0
95,0,imageHL3,3.0,2.0
96,0,imageLH10,4.0,3.0
97,0,imageLH8,4.0,3.0
98,0,imageHH8,3.0,2.0
99,0,imageHL2,3.0,3.0
100,0,imageLL6,4.0,3.0
101,0,imageHH4,4.0,4.0
141,0,imageHH14,4.0,3.0
142,0,imageHH10,3.0,3.0
143,0,imageHL1,2.0,2.0
144,0,imageHL13,4.0,4.0
145,0,imageLL8,4.0,4.0
146,0,imageLH3,5.0,4.0
147,0,imageLH9,4.0,4.0
148,0,imageLL5,4.0,4.0
188,0,imageLL12,4.0,2.0
189,0,imageHL7,4.0,2.0
190,0,imageLL2,3.0,2.0
191,0,imageHL14,3.0,2.0
192,0,imageLH11,4.0,4.0
193,0,imageHH3,3.0,3.0
194,0,imageHH7,3.0,2.0
195,0,imageLH7,4.0,3.0
235,0,imageLL1,3.0,3.0
236,0,imageHH12,3.0,3.0
237,0,imageLL9,4.0,3.0
238,0,imageHH2,3.0,3.0
239,0,imageLH13,4.0,3.0
240,0,imageHL9,3.0,3.0
241,0,imageHL11,2.0,2.0
242,0,imageLH6,4.0,3.0
282,0,imageHH5,3.0,3.0
283,0,imageHL12,3.0,3.0
284,0,imageLL10,4.0,2.0
285,0,imageHH1,2.0,2.0
286,0,imageHL8,3.0,3.0
287,0,imageLH12,4.0,3.0
288,0,imageLH4,4.0,3.0
289,0,imageLL4,4.0,3.0
0,3,imageHH6,5.0,4.0
1,3,imageLH8,5.0,1.0
2,3,imageHH4,5.0,5.0
3,3,imageLL9,5.0,3.0
4,3,imageLH3,5.0,3.0
5,3,imageLL6,3.0,1.0
6,3,imageHL7,2.0,3.0
7,3,imageHL8,1.0,3.0
47,3,imageLH5,5.0,3.0
48,3,imageHH3,1.0,3.0
49,3,imageHH10,1.0,3.0
50,3,imageLH1,3.0,3.0
51,3,imageLL5,3.0,3.0
52,3,imageHL11,1.0,3.0
53,3,imageLL12,1.0,3.0
54,3,imageHL12,1.0,3.0
94,3,imageHH2,4.0,4.0
95,3,imageLH9,4.0,3.0
96,3,imageLH14,3.0,1.0
97,3,imageLL11,1.0,3.0
98,3,imageHH9,5.0,5.0
99,3,imageLL4,5.0,2.0
100,3,imageHL1,3.0,4.0
101,3,imageHL6,1.0,3.0
141,3,imageHL10,3.0,4.0
142,3,imageLH12,5.0,3.0
143,3,imageHH5,2.0,3.0
144,3,imageHH14,1.0,4.0
145,3,imageHL4,4.0,5.0
146,3,imageLH6,4.0,3.0
147,3,imageLL1,5.0,1.0
148,3,imageLL8,4.0,4.0
188,3,imageHL2,1.0,3.0
189,3,imageHL14,1.0,4.0
190,3,imageHH1,4.0,2.0
191,3,imageHH13,4.0,3.0
192,3,imageLH4,5.0,3.0
193,3,imageLL2,4.0,3.0
194,3,imageLL7,5.0,3.0
195,3,imageLH11,3.0,3.0
235,3,imageLL14,3.0,3.0
236,3,imageLH10,3.0,2.0
237,3,imageHH7,1.0,4.0
238,3,imageLL10,1.0,1.0
239,3,imageLH13,4.0,3.0
240,3,imageHH12,2.0,3.0
241,3,imageHL5,4.0,3.0
242,3,imageHL13,2.0,3.0
282,3,imageHH8,2.0,3.0
283,3,imageHH11,5.0,3.0
284,3,imageLH2,3.0,3.0
285,3,imageHL9,2.0,2.0
286,3,imageLL13,1.0,1.0
287,3,imageLH7,1.0,1.0
288,3,imageLL3,2.0,2.0
289,3,imageHL3,3.0,4.0
0,8,imageHH14,3.0,5.0
1,8,imageHH1,4.0,2.0
2,8,imageLL6,4.0,1.0
3,8,imageLH7,4.0,1.0
4,8,imageLH3,5.0,1.0
5,8,imageHL3,1.0,3.0
6,8,imageHL4,3.0,3.0
7,8,imageLL3,2.0,3.0
47,8,imageHH2,3.0,4.0
48,8,imageHL13,4.0,4.0
49,8,imageHH13,4.0,2.0
50,8,imageLL8,5.0,3.0
51,8,imageLH2,3.0,2.0
52,8,imageLH10,5.0,1.0
53,8,imageHL6,1.0,3.0
54,8,imageLL13,3.0,3.0
94,8,imageHL5,4.0,3.0
95,8,imageLL5,4.0,1.0
96,8,imageHL10,4.0,3.0
97,8,imageHH3,4.0,1.0
98,8,imageHH12,3.0,2.0
99,8,imageLH8,4.0,1.0
100,8,imageLH11,4.0,2.0
101,8,imageLL4,2.0,1.0
141,8,imageLL9,1.0,1.0
142,8,imageLH5,4.0,1.0
143,8,imageHL2,2.0,2.0
144,8,imageHH6,5.0,4.0
145,8,imageHL8,4.0,3.0
146,8,imageLH9,4.0,2.0
147,8,imageLL2,4.0,2.0
148,8,imageHH4,4.0,3.0
188,8,imageHL12,4.0,5.0
189,8,imageHL1,4.0,4.0
190,8,imageLL12,4.0,2.0
191,8,imageHH9,4.0,2.0
192,8,imageLH12,4.0,2.0
193,8,imageLL14,3.0,3.0
194,8,imageHH11,5.0,5.0
195,8,imageLH4,4.0,2.0
235,8,imageLL11,4.0,3.0
236,8,imageHH5,2.0,4.0
237,8,imageLH14,4.0,1.0
238,8,imageHH7,4.0,5.0
239,8,imageHL11,3.0,3.0
240,8,imageLL1,1.0,1.0
241,8,imageHL9,3.0,4.0
242,8,imageLH6,4.0,4.0
282,8,imageLL10,4.0,1.0
283,8,imageLH13,4.0,2.0
284,8,imageHH8,5.0,3.0
285,8,imageHH10,4.0,4.0
286,8,imageLL7,4.0,2.0
287,8,imageHL14,3.0,2.0
288,8,imageHL7,2.0,2.0
289,8,imageLH1,5.0,2.0
0,9,imageHH1,5.0,1.0
1,9,imageHL3,2.0,2.0
2,9,imageHH4,3.0,5.0
3,9,imageLH3,5.0,3.0
4,9,imageHL1,4.0,3.0
5,9,imageLL2,5.0,1.0
6,9,imageLL1,5.0,1.0
7,9,imageLH2,5.0,1.0
47,9,imageHH2,5.0,5.0
48,9,imageHL5,3.0,4.0
49,9,imageHH12,5.0,4.0
50,9,imageHL4,3.0,3.0
51,9,imageLH1,5.0,1.0
52,9,imageLL3,3.0,3.0
53,9,imageLH4,5.0,2.0
54,9,imageLL4,4.0,1.0
94,9,imageHL8,2.0,3.0
95,9,imageHH5,2.0,4.0
96,9,imageHL6,2.0,3.0
97,9,imageHH3,2.0,2.0
98,9,imageLL6,4.0,1.0
99,9,imageLH6,5.0,2.0
100,9,imageLL7,5.0,2.0
101,9,imageLH5,5.0,3.0
141,9,imageHL13,1.0,3.0
142,9,imageLH7,5.0,1.0
143,9,imageHH6,2.0,3.0
144,9,imageLH9,5.0,2.0
145,9,imageLL9,4.0,1.0
146,9,imageHH7,1.0,5.0
147,9,imageHL2,2.0,3.0
148,9,imageLL8,3.0,2.0
188,9,imageHL11,3.0,1.0
189,9,imageHH8,3.0,4.0
190,9,imageLH8,4.0,3.0
191,9,imageHH9,4.0,3.0
192,9,imageHL7,2.0,3.0
193,9,imageLH10,5.0,1.0
194,9,imageLL11,5.0,3.0
195,9,imageLL5,5.0,2.0
235,9,imageHH11,4.0,3.0
236,9,imageHL12,2.0,2.0
237,9,imageHH10,2.0,2.0
238,9,imageHL9,2.0,3.0
239,9,imageLH14,4.0,1.0
240,9,imageLL10,3.0,1.0
241,9,imageLH12,5.0,3.0
242,9,imageLL13,2.0,1.0
282,9,imageHH14,1.0,5.0
283,9,imageHH13,4.0,3.0
284,9,imageHL14,1.0,4.0
285,9,imageHL10,1.0,4.0
286,9,imageLH13,3.0,1.0
287,9,imageLL12,3.0,2.0
288,9,imageLH11,5.0,3.0
289,9,imageLL14,4.0,2.0
0,10,imageLH10,4.0,1.0
1,10,imageHL5,4.0,3.0
2,10,imageLH12,5.0,3.0
3,10,imageLL3,5.0,1.0
4,10,imageHL4,2.0,2.0
5,10,imageHH4,4.0,5.0
6,10,imageLL13,2.0,1.0
7,10,imageHH1,4.0,1.0
47,10,imageHL2,2.0,2.0
48,10,imageHH12,5.0,4.0
49,10,imageHH11,5.0,5.0
50,10,imageLL11,5.0,3.0
51,10,imageLH4,5.0,2.0
52,10,imageLL9,5.0,1.0
53,10,imageLH5,5.0,2.0
54,10,imageHL3,5.0,4.0
94,10,imageHH6,2.0,2.0
95,10,imageHL11,2.0,2.0
