,subj_idx,stim,rt,response,group,arousal,valence
14229,0,1Vne1A,3.3204,1,group4,3,3
14230,0,1Vne1A,0.9997,1,group4,3,3
14231,0,1Vne1A,1.6125,0,group4,3,3
14232,0,1Vne1A,1.0824,0,group4,3,3
14233,0,1Vne1A,4.4163,0,group4,3,3
14234,0,1Vne1A,1.8017,0,group4,3,3
14235,0,1Vne1A,1.452,1,group4,3,3
14236,0,1Vne1A,0.9618,0,group4,3,3
14237,0,1Vne1A,2.5324,0,group4,2,2
14238,0,1Vne1A,1.1172,0,group4,2,2
14239,0,1Vne1A,1.0532,0,group4,2,2
14240,0,1Vne1A,0.8659,0,group4,2,2
14241,0,1Vne1A,3.3831,0,group4,3,3
14242,0,1Vne1A,1.9853,0,group4,3,3
14243,0,1Vne1A,3.315,0,group4,3,3
14244,0,1Vne1A,1.0494,0,group4,3,3
14245,0,1Vne1A,1.6229,0,group4,3,3
14246,0,1Vne1A,1.4153,0,group4,3,3
14247,0,1Vne1A,1.3389,0,group4,3,3
14248,0,1Vne1A,0.9974,0,group4,3,3
14249,0,1Vne1A,1.1683,0,group4,3,3
14250,0,1Vne1A,1.2004,1,group4,3,3
14251,0,1Vne1A,1.1676,0,group4,3,3
14252,0,1Vne1A,1.3736,0,group4,3,3
29,3,0V0A,3.4001,1,group1,5,4
30,3,0V0A,3.1973,1,group1,5,4
31,3,0V0A,5.937949383,1,group1,5,4
32,3,0V0A,3.6808,1,group1,5,4
33,3,0V0A,3.2425,0,group1,4,4
34,3,0V0A,1.6971,0,group1,4,4
35,3,0V0A,2.2568,1,group1,4,4
36,3,0V0A,4.3649,0,group1,4,4
37,3,0V0A,2.1116,0,group1,2,3
38,3,0V0A,1.589,1,group1,2,3
39,3,0V0A,3.2668,0,group1,2,3
40,3,0V0A,5.937949383,0,group1,2,3
41,3,0V0A,2.7028,0,group1,4,3
42,3,0V0A,1.77,0,group1,4,3
43,3,0V0A,2.0279,1,group1,4,3
44,3,0V0A,2.7855,0,group1,4,3
45,3,0V0A,2.1705,1,group1,2,3
46,3,0V0A,2.9235,0,group1,2,3
47,3,0V0A,2.0991,0,group1,2,3
48,3,0V0A,5.937949383,1,group1,2,3
49,3,0V0A,1.5942,0,group1,2,3
50,3,0V0A,2.8031,0,group1,2,3
51,3,0V0A,1.5637,0,group1,2,3
52,3,0V0A,1.8931,0,group1,2,3
53,3,0V0A,5.8267,1,group1,3,3
54,3,0V0A,5.4768,1,group1,3,3
55,3,0V0A,1.8585,0,group1,3,3
56,3,0V0A,1.0848,0,group1,3,3
3585,3,0V1A,2.4,1,group1,5,4
3586,3,0V1A,2.4105,1,group1,5,4
3587,3,0V1A,2.8629,1,group1,5,4
