Summary
"The story is about Vijay, a college student who comes back home after he finished his studies."
"It is decided that in order to get both Tommy and Martha home, $92 would be needed in order to pay the train fare home."
Vijay decides to help Rajesh by sending latter to complete his education and become a journalist.
The movie is about two sisters growing up in Philadelphia in the 1870s.
"One day, Phil finally manages to persuade Amelia to let him drive her home after work, as it is raining ."
"The lead character, Michelle, is a 45-year-old obstetrician who finds herself increasingly sympathetic with her patients."
Robert's nanny moved him into the neighborhood so that he could learn to be a normal kid.
"An ordinary Prague family, the Laviƒçka's, yearns to have a house in the countryside."
"Believing Peter has deserted her, Ellie calls her father, who is so relieved to get her back that he agrees to let her marry Will."
"One day, Dina is playing the piano when a guard downstairs is playing another song on the mandolin, his name is Abram."
"Tora-san persuades Kiko to come to Tokyo, where she meets her estranged father, an author."
"When Neela meets one of her students' elder brothers, a businessman Aftaab, she instantly catches his eye."
"As he departs, his book, which had earlier been a regular book, becomes a flying book like the others, and returns to the library."
Two friends find a tree in a forest close to their house and decide to build a tree house there.
"In 18th century Vienna, Franz Muller believes he is able to heal patients by drawing out something unique from inside them."
The puppet tells David that the only key to unlock the device is in the stomach of his dead cellmate .
"Ignoring the General's orders, Charles orders his officers and men to commit suicide."
"A simple mosquito bite infected with a virus has spread death, from the humid rain forest."
"After his hospital stay he is transferred to a new prison, where he has to share a cell with German prisoners of war."
Samuel Caine pled guilty to second-degree intentional homicide and is sentenced to eighteen years in prison.
"When she throws herself from the roof shortly afterward, he describes her suicide as a consequence of her depression."
"Ben unquestionably follows him, including following him into drug addiction."
Abou Miladan is an old barber who lost his hairdressing salon during the Lebanese civil war.
"The movie begins in Atlanta federal penitentiary, where an aging prisoner named Joseph Malachi is imprisoned for smuggling heroin."
A murky and polluted lake lies in malevolent hibernation behind a neglected cottage.
"When she finds herself suicidal and desperate, she locks herself in her apartment for 30 days."
"To complicate matters, the box office takings have been robbed and the leading lady refuses to appear."
The unfortunate series of events leaves her hopelessly depressed.
"Alex, John and Dan are physically impaired‚ the one cannot see, the second is hard of hearing and the third is mute."
"Nina Malone is a criminal lawyer whose gender was resented by Philip , the District Attorney."
"Two young men hit the road to Hollywood, CA to look for money, fame, and the wild life in this youthful comedy."
He travelled from America to Madrid to try to win fame and fortune as a football player.
In addition to its utopian lifestyle the survivors discover much of the city is made of gold.
"After much strenuous effort and nearly running out of food, they succeed in finding diamonds in Bolshaya Zemlya."
"Margie and Rose , two American hippies in Paris are there for sex and romance, and to find rich husbands."
"Olivia, a popular girl on campus, goes to a wild party while her boyfriend Emmett is not in town."
"The puppy, now an atomic dog, manages to escape the plant and discovers the female dog."
"After an argument with his mother, Shankar departs to the city, gives up drinking, earns a lot of money."
"The friends flee from the city and Dele’s henchmen, discovering the true value of friendship."
"A rich, jet-setting playboy has a secret life: he's also a professional Mafia hitman."
"The hero is Sigerst Holmes , the younger and ""smarter"" brother of Sherlock ""Sheer-Luck"" Holmes."
Two lovers are captured by the queen of a lesbian colony who uses the two lovers for her own sex games.
"It is a romantic comedy concerning the love of a Princess for a soldier, and the love of the soldier for another woman."
It quickly emerges that there is a lot Marie does not know about her mother's past and the true story of her love life.
"A beautiful young European girl, Annabelle, is taken over by the spirit of mysterious Viajit, queen of the lost city."
"Everyone infected with this virus dies without exception, screaming and their heads exploding."
"A serial killer calling himself ""The Spin"" murders his victims and then revives them, until they beg to die."
"Saket, unable to cope with his tragic loss, kills the Muslims who raped and killed his wife in a fit of rage."
"The attackers mount a ruthless attack on the fort, ultimately breaching the walls and killing many settlers."
"After suffering much humiliation at the hands of the gang, Patti takes a ghastly, murderous revenge."
"Later, countless hundreds of thousands are killed when the town is destroyed by a violent tsunami."
"When several tests of the weapon fail, and men are killed, tensions within the group mount."
"In Paris, a thief and murderer known as Le Chien hides his identity behind a mask and howls before he kills his victims."
Ravinder Singh is shocked when his younger brother living in the US is killed in a post-9/11 hate crime.
Rodulfus was accidentally killed in a drunken duck-shooting incident whilst escaping trouserless from an illicit tryst.
"Rosita , Caroline and Megan share a devastating ordeal, they were all rape victims of a vicious killer."
"After the old man's death, Rayshawn is kidnapped by Carlos and his gang, who brutally torture him."
"He is hunted by vengeful past nemesis Kramer, who holds a battered Missy hostage in exchange for a showdown."
"Confusion ensues, and even though the chief is killed, the crime lord who hired the killers wants them all dead anyway."
"After being followed, attacked, and shot by the military, Jamon kills the military colonel and dies slowly at a military base."
