,v_0V0A,v_0V1A,v_1V0A,v_1V1A,v_1Vne1A
0,0.010248170533257106,-0.005470992587294966,-0.15202975453417447,-0.08747059432561331,-0.15496708752636523
1,0.01019655991154697,-0.019843016763049712,-0.14198574087998897,-0.08428821951882058,-0.18502121283149317
2,-0.003479200845531584,-0.001085838955190592,-0.16597886059386885,-0.08462933753623036,-0.19304618957360165
3,-0.02807414210314641,-0.013435599876119007,-0.17827841320007667,-0.12487011334432592,-0.18243716866980003
4,-0.0498750354331602,-0.034790977260762045,-0.16215518959265343,-0.11610967100257705,-0.16837724357963482
5,-0.04694147775117918,0.03141623978140046,-0.14756785211693071,-0.1567652423707349,-0.17965835608274583
6,-0.011232338226616762,-0.01376683930657677,-0.11663285811964433,-0.15825809721821943,-0.19172713340468292
7,-0.020133016974510115,0.06346179872951288,-0.19871338693020515,-0.1475471294751476,-0.1552759850290869
8,0.008334790672694683,0.015836503336124345,-0.1872898675210539,-0.15892368529850973,-0.19516585561883465
9,4.487163978032847e-05,0.04436670143686577,-0.16137327482721897,-0.13808670369998177,-0.17341355974290948
10,0.03810287474926603,0.022103588243828243,-0.1373544989883965,-0.11844781159716088,-0.15279920057641702
11,0.011185212065595376,-0.008238015199559993,-0.14726203815586092,-0.1421583412409405,-0.15210027278712318
12,-0.01574437502797751,0.018495808505425815,-0.1380661668930088,-0.1467575511186059,-0.2246509942633321
13,-0.036493648298844196,0.02227600982149673,-0.14135756829979318,-0.11514255031025325,-0.2210157849159295
14,0.010851103725409317,0.027497088077613856,-0.19578181549932322,-0.09364675906456914,-0.14481084542638573
15,-0.030700507992726323,0.02675099745946932,-0.195813064751115,-0.11427082311971981,-0.16734730167231526
16,-0.039858992461440035,0.04027984512981059,-0.15361154476119054,-0.11137711907096837,-0.17464440736695047
17,-0.034725513514311,0.05099571773786918,-0.18061523914182306,-0.16838046825812297,-0.1950057255486055
18,0.011232645038482458,0.015327766133892438,-0.16432588297671388,-0.16233238864642613,-0.17004360329282514
19,0.006193814707679034,0.004319850197004255,-0.15989692233928887,-0.1520729358178795,-0.14672586642708887
20,-0.03438153204548851,0.04340376779630123,-0.170068887984693,-0.14843188227223922,-0.16679255407445523
21,-0.010622739095493173,-0.006986413214085042,-0.14107091242166378,-0.08915335364590914,-0.2163242540987935
22,-0.024269415055945924,0.02676657444819769,-0.16302663554862049,-0.1538807205615384,-0.16347117924475912
23,0.014825310501549574,0.019144775133868065,-0.17247060462394062,-0.12065567213567456,-0.15596110072564098
24,-0.03365240862922431,0.010541591966442063,-0.17479139920485492,-0.10643858989782881,-0.18512647695541098
25,0.010454630078324666,-0.02077526830372274,-0.20435262249674155,-0.13352171867356757,-0.18196967237487535
26,-0.01574787486242794,-0.024853064074587632,-0.17760214448758235,-0.15973087952210108,-0.18171982168833914
27,-0.0023432255073176766,0.007430623428129883,-0.16542127321483416,-0.1773883939394857,-0.15982396806285987
